3136,9a74acdffbee35ad.jpg,186,16,14,34144,5213,,,,r,g,b
3732,d4a83afb84b0f902.jpg,119,104,22,2861,29796,,,,,,
4554,9a8e4d5497293d5a.jpg,100,59,48,4215,29810,,,,,,
3807,48e0d68d36a70cb0.jpg,142,107,75,3090,29843,,,,,,
4055,d685a518ee56f951.jpg,142,101,83,3074,29859,,,,,,
1595,ab45e72bada0166a.jpg,136,93,84,2791,29866,,,,,,
3217,93ba7a0a6383ec10.jpg,122,88,67,2651,29922,,,,,,
1863,7809424ca4e76fef.jpg,126,107,43,2578,29939,,,,,,
460,3a179b4b05b5957a.jpg,107,77,46,3404,29949,,,,,,
1300,c59adfcc3b31fa9d.jpg,145,107,80,3176,29949,,,,,,
4968,3ac1cccd3f2246eb.jpg,109,71,60,3240,29957,,,,,,
2005,1228bfe2f3dc2d29.jpg,128,96,68,2544,29969,,,,,,
2180,b2151f84d8bab0d5.jpg,155,109,90,4044,29981,,,,,,
3689,fea5a6a523b2d8e5.jpg,103,71,43,3719,29994,,,,,,
3188,09771fe2f9b74a39.jpg,129,93,74,2516,30001,,,,,,
2358,438cb4403beb04ec.jpg,101,68,41,3896,30021,,,,,,
1326,64fb6f2d46183bbf.jpg,106,65,60,3411,30026,,,,,,
4448,89f62f42e24f73a9.jpg,111,83,49,3031,30026,,,,,,
2125,193fdb30aa738a01.jpg,136,102,74,2616,30041,,,,,,
2073,4ccd63d33864d351.jpg,91,47,31,5111,30066,,,,,,
2002,b26bf5279224840f.jpg,129,95,72,2432,30085,,,,,,
4069,7b014bddcf9fee59.jpg,127,96,67,2424,30089,,,,,,
1352,73eae1cde3c00a7c.jpg,130,102,64,2400,30125,,,,,,
3446,c7803107deac5ad4.jpg,130,98,70,2396,30129,,,,,,
2244,d12256aac8aeec4c.jpg,123,99,54,2412,30141,,,,,,
3662,02f42085acfad7bc.jpg,86,31,25,5810,30147,,,,,,
3616,f3ef90b5fa4fb1b2.jpg,125,90,72,2341,30184,,,,,,
1221,7b5b28ed2fad808b.jpg,125,98,61,2300,30225,,,,,,
1296,3145353afb7c7dda.jpg,144,128,39,2831,30226,,,,,,
1109,6521a19adf7c0a59.jpg,135,104,71,2368,30257,,,,,,
4079,1c5bd019a0965122.jpg,119,83,70,2372,30285,,,,,,
744,9ac9884a839e15cc.jpg,137,66,110,2313,30380,,,,,,
632,e11a47badcbdeca6.jpg,149,110,84,3045,30392,,,,,,
2269,f88e40d98187ff72.jpg,139,95,89,2375,30402,,,,,,
457,219fd9fd05006e79.jpg,114,81,63,2466,30411,,,,,,
4922,ccdec54aa1afd87a.jpg,135,108,66,2205,30420,,,,,,
135,5756dfac7ff83f70.jpg,139,102,81,2356,30421,,,,,,
3290,405611bbe0d1b085.jpg,185,132,90,8701,30424,,,,,,
2230,9b35df58a0816681.jpg,147,105,88,2840,30433,,,,,,
1811,4142ef0217d47a2d.jpg,147,114,76,2837,30436,,,,,,
3916,0e7cb046479668c5.jpg,141,108,76,2441,30436,,,,,,
3682,6791362f46bdf6d1.jpg,88,45,23,5190,30443,,,,,,
3105,94f919757bdab97d.jpg,133,99,76,2112,30461,,,,,,
4716,fa059e63d884acb2.jpg,87,46,12,5309,30484,,,,,,
1627,13604226d36dc7fb.jpg,128,91,78,2019,30494,,,,,,
3500,46823059a03ddd66.jpg,139,79,104,2264,30513,,,,,,
3076,b0a63dfc85045447.jpg,149,117,75,2887,30550,,,,,,
2744,c54bbf8676672453.jpg,165,122,87,4772,30553,,,,,,
4259,3f2eefd73e6acc7f.jpg,150,121,70,2959,30566,,,,,,
4806,eb59a7a5d5518d31.jpg,132,102,71,1979,30574,,,,,,
3593,e0bcb2e2c95ef6d3.jpg,132,119,36,1967,30586,,,,,,
290,87052144386c1e8c.jpg,129,106,59,1924,30593,,,,,,
2019,d373d01bc9e43de9.jpg,147,116,74,2677,30596,,,,,,
4546,6f4911049dd3b61d.jpg,140,107,77,2222,30603,,,,,,
2114,8a6f3167149241d3.jpg,158,121,81,3762,30611,,,,,,
3086,0049a724f5dc20e4.jpg,147,123,62,2636,30637,,,,,,
4222,32501c2a9f50ebef.jpg,142,112,73,2291,30642,,,,,,
4405,381001f341859fa0.jpg,111,83,55,2407,30650,,,,,,
3980,3347db81246e7dfc.jpg,112,82,59,2339,30654,,,,,,
4015,2b82e192fe2913f2.jpg,118,86,67,2039,30654,,,,,,
2964,62be847766cd949d.jpg,126,90,77,1847,30670,,,,,,
1170,f3296353582139a0.jpg,99,70,38,3457,30680,,,,,,
3325,25a694ee730ba3c2.jpg,153,115,84,3128,30685,,,,,,
495,dfc86f37a6bed80b.jpg,154,118,81,3231,30686,,,,,,
4477,0dd112315cf12277.jpg,97,54,53,3684,30689,,,,,,
1222,2f42eaf47b84f256.jpg,133,104,71,1832,30741,,,,,,
3818,aab0bc874a78b12b.jpg,134,97,82,1823,30774,,,,,,
2961,0e762c99828129a1.jpg,115,85,63,2031,30794,,,,,,
568,9f1544f451a5422c.jpg,204,154,67,13411,30806,,,,,,
856,d510f7ef820d2412.jpg,101,67,51,3111,30806,,,,,,
291,2beeec409e9639da.jpg,162,123,84,4059,30834,,,,,,
28,63f6b82d8fb6f151.jpg,120,87,71,1790,30835,,,,,,
1580,5dfb1f03dcffaa36.jpg,145,124,58,2285,30840,,,,,,
319,c982583d40fd6ada.jpg,115,77,73,1967,30858,,,,,,
4344,f109f48aaca8bc5b.jpg,144,113,76,2191,30866,,,,,,
4458,179120f9e8bb8435.jpg,91,56,29,4304,30873,,,,,,
794,598cbdb024a1f3fd.jpg,171,140,65,5416,30881,,,,,,
594,5b298c4a56dfe552.jpg,150,116,80,2644,30881,,,,,,
646,25883211f830e4c9.jpg,97,70,32,3485,30888,,,,,,
